fold,horizon,test_year,hash,config,model,strategy,NSE,KGE,HitRatio,FARate,FARatio,F1,Precision,Recall,n_extreme,PeakTiming_mean_lag,PeakTiming_mean_absolute_lag,PeakTiming_n_peaks,NSE_CI_lower,NSE_CI_upper,KGE_CI_lower,KGE_CI_upper,F1_CI_lower,F1_CI_upper,HitRatio_CI_lower,HitRatio_CI_upper,n_replicas,frac,mean_abs_deviation_from_baseline,mean_std_across_replicas,max_std_across_replicas,delta_hit_ratio,delta_farate,rf_branch_stability,seed,threshold_percentile
M2_2019,48h,2019,5173fd18b7bc11af,M2,seq2seq_base,expanding,0.6630431495962779,0.7079615360927354,0.3488372093023256,0.031055900621118,0.25,0.7228915662650603,0.75,0.6976744186046512,43.0,1.375,1.875,16.0,0.5565815928432369,0.7389082125691855,0.631954240901548,0.7839735439542914,0.6193569310600445,0.820625,0.2338037342596613,0.4891666666666667,,,,,,,,,92,90
M2_2020,48h,2020,3faf2edf5982804e,M2,seq2seq_base,expanding,0.4567107588574297,0.578057012644595,0.425531914893617,0.0504731861198738,0.32,0.7010309278350516,0.68,0.723404255319149,47.0,0.4,1.4,20.0,0.2785352853658456,0.623603135132253,0.4692504022295929,0.634315078700031,0.5975313479623824,0.8077020202020202,0.2916666666666667,0.5476190476190477,,,,,,,,,92,90
M2_2021,48h,2021,43b7fe27dd050285,M2,seq2seq_base,expanding,0.3008315287020817,0.6090815968392314,0.3333333333333333,0.0223463687150838,0.6666666666666666,0.4444444444444444,0.3333333333333333,0.6666666666666666,6.0,0.4,0.4,5.0,-0.2911766350730851,0.5721759119792922,0.4048145710241948,0.706431238043875,0.1051315789473684,0.733421052631579,0.0,0.8008333333333336,,,,,,,,,92,90
M2_2022,48h,2022,06f5cb7a2737f544,M2,seq2seq_base,expanding,0.5450065184560987,0.676696269354998,0.5714285714285714,0.0590062111801242,0.3877551020408163,0.6593406593406593,0.6122448979591837,0.7142857142857143,42.0,1.2222222222222223,1.3333333333333333,18.0,0.3595106032898932,0.6591248037696252,0.5432299710840506,0.7376715283724591,0.5411302048909451,0.7473949579831933,0.4046428571428571,0.7203035714285715,,,,,,,,,92,90
M2_2023,48h,2023,b1287d00ebac36ad,M2,seq2seq_base,expanding,0.2523939434487323,0.5610283095723708,0.4354838709677419,0.1188118811881188,0.4444444444444444,0.6293706293706294,0.5555555555555556,0.7258064516129032,62.0,0.56,1.2,25.0,-0.0110921776760245,0.428551888353973,0.4372750719692663,0.6424597040157916,0.539127351218008,0.7125205479452055,0.3224871435250117,0.5458333333333334,,,,,,,,,92,90
M3_2017,48h,2017,cea8d7b7ee2bec86,M3,seq2seq_base,expanding,0.5403813790574634,0.532206325399142,0.0689655172413793,0.008955223880597,0.25,0.4390243902439025,0.75,0.3103448275862069,29.0,0.25,1.5833333333333333,12.0,0.4068167009795678,0.6593857719703847,0.4290350696260656,0.6455560800877298,0.2307142857142857,0.6230020491803279,0.0,0.1818181818181818,,,,,,,,,92,90
M3_2018,48h,2018,1a88697effe2a024,M3,seq2seq_base,expanding,0.2050595028676798,0.2846074746922273,0.0,0.0029239766081871,0.5,0.0833333333333333,0.5,0.0454545454545454,22.0,0.9333333333333332,2.0,15.0,0.0829560079997687,0.3070045412332434,0.1584172461313384,0.4195064763282058,0.0,0.2502717391304348,0.0,0.0,,,,,,,,,92,90
M3_2019,48h,2019,55d3b507131c16cc,M3,seq2seq_base,expanding,0.5595088708160416,0.5210681130735402,0.2093023255813953,0.0093167701863354,0.1153846153846153,0.6666666666666665,0.8846153846153846,0.5348837209302325,43.0,0.5625,1.9375,16.0,0.4680270149915996,0.6595511370391233,0.4264078999424261,0.6599176972483568,0.5282522343594837,0.8102437880918893,0.1025,0.3590909090909091,,,,,,,,,92,90
M3_2020,48h,2020,91c7870ae026d649,M3,seq2seq_base,expanding,0.5818216606297337,0.6069539459347013,0.1702127659574468,0.0094637223974763,0.1034482758620689,0.6842105263157894,0.896551724137931,0.5531914893617021,47.0,0.15,1.45,20.0,0.4866035146749608,0.6779019029719406,0.4923626621075148,0.7190641420948698,0.5680798368298368,0.7792715097402597,0.0625,0.279093023255814,,,,,,,,,92,90
M3_2021,48h,2021,940fa5ff18142606,M3,seq2seq_base,expanding,0.2910623355890515,0.4144934827276586,0.0,0.0111731843575419,1.0,0.0,0.0,0.0,6.0,0.8,0.8,5.0,0.0781024895291164,0.4224730182631969,0.3056262477122294,0.5622629183733407,0.0,0.0,0.0,0.0,,,,,,,,,92,90
